"","i_qp_.stars","i_qp_.amidine","i_qp_.rotor","i_qp_.rtvFG","i_qp_CNS","r_qp_dipole","r_qp_SASA","r_qp_FOSA","r_qp_FISA","r_qp_PISA","r_qp_WPSA","r_qp_volume","r_qp_donorHB","r_qp_accptHB","r_qp_dip.2.V","r_qp_ACxDN..5.SA","r_qp_glob","r_qp_QPpolrz","r_qp_QPlogPC16","r_qp_QPlogPoct","r_qp_QPlogPw","r_qp_QPlogPo.w","r_qp_QPlogS","r_qp_CIQPlogS","r_qp_QPlogHERG","r_qp_QPPCaco","r_qp_QPlogBB","r_qp_QPPMDCK","r_qp_QPlogKp","r_qp_IP.eV.","r_qp_EA.eV.","X.metabol","r_qp_QPlogKhsa","i_qp_HumanOralAbsorption","r_qp_PercentHumanOralAbsorption","r_qp_SAfluorine","r_qp_SAamideO","r_qp_PSA","i_qp_RuleOfFive","i_qp_RuleOfThree","r_qp_Jm"
"601",0,0,1,1,0,4.909,453.355,306.583,93.581,53.191,0,755.395,1,4.2,0.0318975,0.0092643,0.8847958,23.943,6.528,11.426,7.189,1.704,-2.971,-2.148,-3.65,1283.731,-0.294,648.034,-2.961,8.817,0.302,3,-0.138,3,92.556,0,0,52.787,0,0,0.242620948493798
"602",3,0,4,2,-2,1.889,395.653,170.989,224.664,0,0,645.856,0,7.9,0.0055239,0,0.9132875,17.125,5.956,9.734,9.098,-1.894,1.073,-0.514,-2.935,73.352,-1.473,29.376,-5.276,11.535,0.383,2,-1.79,2,49.246,0,0,131.072,0,0,14.7896049089325
"603",0,1,7,0,-2,5.524,472.477,69.019,202.26,201.198,0,758.729,6,3.5,0.0402124,0.0181452,0.8514821,21.637,9.291,18.115,14.292,0.382,-1.603,-1.956,-4.895,119.638,-1.718,49.847,-5.929,8.44,-0.118,3,-0.735,2,53.413,0,0,107.342,1,0,0.0060359579550885
"604",0,1,7,0,-2,8.431,482.797,69.988,205.958,206.852,0,766.367,6,3.5,0.0927565,0.0177574,0.8388632,21.997,9.365,18.955,14.38,0.395,-1.759,-1.956,-5.126,110.357,-1.81,45.681,-5.977,8.123,-0.144,3,-0.73,2,52.865,0,0,104.042,1,0,0.00376454508389979
"605",1,0,2,0,-2,13.036,443.791,54.697,266.273,67.792,55.03,732.793,3,9,0.2319061,0.0351256,0.8857413,22.536,8.467,20.294,15.896,-0.108,-2.455,-2.358,-3.704,29.569,-1.685,22.027,-5.996,9.604,1.277,1,-0.778,2,52.635,0,0,131.756,0,0,0.00220023199658061
"606",1,0,2,0,-2,13.667,441.839,54.948,263.714,68.002,55.176,730.261,3,9,0.2557625,0.0352808,0.8876042,22.436,8.439,20.579,15.876,-0.105,-2.45,-2.358,-3.675,31.268,-1.653,23.441,-5.948,9.502,1.128,1,-0.778,2,53.089,0,0,131.426,0,0,0.00257753185480537
"607",3,0,1,0,2,1.204,396.723,347.476,49.247,0,0,681.871,2,1,0.0021277,0.0035647,0.9443775,20.492,5.825,9.352,4.703,1.688,-1.382,-1.102,-3.158,842.929,0.534,455.008,-4.394,9.401,-2.758,0,0.072,3,89.197,0,0,25.531,0,0,0.300292585921115
"608",0,0,1,0,0,8.136,587.262,357.483,79.355,150.424,0,1050.632,0,6,0.0630022,0,0.8510728,36.687,9.611,15.891,12.985,1.603,-1.984,-2.129,-1.91,560.487,-0.227,906.587,-2.356,9.514,0.24,5,-0.623,3,85.526,0,62.162,57.654,0,0,14.276937860128
"609",0,0,1,0,0,8.136,587.283,357.505,79.355,150.424,0,1051.38,0,6,0.0629566,0,0.8514464,36.717,9.619,15.902,12.985,1.608,-1.984,-2.129,-1.904,560.495,-0.227,906.596,-2.356,9.514,0.24,5,-0.621,3,85.555,0,62.162,57.654,0,0,14.2637809351179
"610",0,0,5,2,-2,7.051,624.91,300.356,218.656,105.898,0,1166.567,0,6,0.0426175,0,0.8576045,38.333,11.367,16.737,8.238,2.594,-5.104,-6.128,-4.341,83.634,-1.72,33.851,-4.696,9.118,1.33,5,0.187,3,76.544,0,0,142.116,0,0,6.10940765451785e-05
"611",0,0,5,2,-2,6.914,630.689,307.046,215.211,108.433,0,1175.23,0,6,0.0406741,0,0.8539482,38.704,11.434,16.817,8.245,2.678,-5.213,-6.128,-4.412,90.168,-1.705,36.719,-4.624,9.126,1.338,5,0.212,3,77.616,0,0,142.517,0,0,5.60927637652806e-05
"612",2,0,0,0,0,8.182,336.843,227.665,104.234,4.944,0,526.236,0,3,0.1272076,0,0.9358184,14.953,4.1,7.575,4.227,0.552,-1.03,-0.591,-2.594,1017.299,-0.23,503.966,-3.423,10.592,0.484,1,-0.657,3,84.003,0,0,52.793,0,0,4.87230996869662
